year: 2015
,NB,RF,NN
0,"[0.59363817714336375, 0.00282035687865721]","[0.56393634187427966, 0.0038178542992854756]","[0.08780414930401631, 0.0016768886784895654]"
1,"[0.68873305319626954, 0.0029260035440146037]","[0.63160000875697697, 0.0035153379158876495]","[1.0, 0.0]"
2,"[0.59363817714336375, 0.00282035687865721]","[0.56393634187427966, 0.0038178542992854756]","[0.08780414930401631, 0.0016768886784895654]"

year: 2014
,NB,RF,NN
0,"[0.59408522862468272, 0.002893559238009564]","[0.63170457249365486, 0.0035771819442901357]","[0.088044916917829952, 0.0014870333761434287]"
1,"[0.67823159389871723, 0.0030295764541339106]","[0.67763396574460821, 0.0036203964268283822]","[1.0, 0.0]"
2,"[0.59408522862468272, 0.002893559238009564]","[0.63170457249365486, 0.0035771819442901357]","[0.088044916917829952, 0.0014870333761434287]"


