,0
0,E11
1,T31
2,C35
3,X20
4,N30
5,A65
6,L20
7,P70
8,K30
9,N64
10,O12
11,T20
12,B99
13,B90
14,D20
15,X30
16,A34
17,O50
18,N11
19,P52
20,S20
21,B29
22,P20
23,E70
24,L22
25,X11
26,B20
27,W30
28,F11
29,P60
30,L19
31,L24
32,M41
33,G50
34,O01
35,Q99
36,Q33
37,P75
38,G30
39,B25
40,A50
41,T12
42,W03
43,G20
44,P50
45,I72
46,Q05
47,Q70
48,H12
49,B117
50,A23
51,B11
52,B83
53,N20
54,X21
55,U50
56,P81
57,H43
58,P30
59,T50
60,T22
61,P33
62,T90
63,O20
64,P19
65,T30
66,E112
67,D112
68,H30
69,T11
70,K25
71,B60
72,B844
73,P27
74,B12
75,X99
76,G80
77,P80
78,Y20
79,K20
80,B42
81,K122
82,A82
83,X84
84,F02
85,M24
86,B112
87,A80
88,O52
89,T70
90,B114
91,A69
92,F30
93,N31
94,P11
95,A25
96,P58
97,B012
98,E21
99,X012
100,F32
101,S30
102,B94
103,T19
104,A20
105,F80
106,D50
107,E32
108,P62
109,O31
110,X112
111,E30
112,P73
113,W70
114,Q30
115,P32
116,S99
117,M40
118,I70
119,I73
120,C34
121,G12
122,B19
123,P118
124,E62
125,S22
126,N32
127,B43
128,P86
129,B034
130,E91
131,B21
132,P40
133,C41
134,I21
135,O23
136,B24
137,I83
138,A54
139,A51
140,B70
141,B80
142,B28
143,E92
144,P28
145,O99
146,N68
147,C114
148,E42
149,X81
150,A122
151,G98
152,E60
153,X22
154,Q32
155,L80
156,C30
157,C99
158,U31
159,A30
160,P46
161,S11
162,E86
163,J40
164,Q20
165,F038
166,J20
167,P84
168,P058
169,N12
170,Q22
171,U12
172,G84
173,L82
174,E99
175,P99
176,Z99
177,B82
178,E12
179,L12
180,Y40
181,N63
182,A68
183,G41
184,F22
185,M20
186,N52
187,W20
188,X12
189,E20
190,I31
191,P82
192,L50
193,C27
194,F032
195,B03
196,E012
197,X80
198,P117
199,N66
200,L21
201,E31
202,A6B
203,Q21
204,U36
205,I51
206,B032
207,I01
208,H80
209,A61
210,F20
211,E50
212,B84
213,G99
214,H99
215,O51
216,A036
217,F31
218,J112
219,O42
220,A63
221,P29
222,J33
223,A57
224,N196
225,A52
226,R20
227,S80
228,T99
229,A60
230,L41
231,N6A
232,B50
233,T40
234,G015
235,I80
236,G70
237,S82
238,I058
239,N112
240,N60
241,S40
242,N67
243,L40
244,G54
245,N40
246,B02
247,R24
248,W05
249,R40
250,W016
251,N036
252,L81
253,G90
254,G81
255,X113
256,A70
257,R016
258,E90
259,N69
260,W12
261,R30
262,C12
263,F99
264,S31
265,A6C
266,F40
267,S21
268,P013
269,C32
270,X40
271,P43
272,B118
273,G9B
274,W99
275,N115
276,C022
277,C03
278,K99
279,P31
280,I60
281,X19
282,S19
283,D012
284,X82
285,E03
286,P12
287,A32
288,B92
289,U34
290,W22
291,L99
292,X022
293,E117
294,N62
295,W80
296,A6E
297,C50
298,P47
299,U20
300,B128
301,I038
302,G42
303,N99
304,K19
305,A33
306,P44
307,A62
308,S41
309,C01
310,Q113
311,W032
312,K023
313,S05
314,K31
315,G43
316,K28
317,O30
318,M12
319,O55
320,L11
321,A11
322,F023
323,P85
324,N65
325,K36
326,T033
327,V30
328,I40
329,E017
330,B01
331,P123
332,H50
333,A26
334,L022
335,C42
336,U03
337,C053
338,P193
339,F33
340,S32
341,A6A
342,X50
343,N19
344,E113
345,E80
346,M23
347,W122
348,G51
349,F60
350,F21
351,J32
352,Y02
353,G48
354,Y50
355,D11
356,I30
357,E22
358,X70
359,C36
360,D12
361,P51
362,A116
363,U05
364,M99
365,X192
366,N016
367,D033
368,M112
369,Q123
370,G83
371,R99
372,E022
373,A27
374,S03
375,G94
376,S50
377,Q39
378,H83
379,F012
380,U30
381,K012
382,W128
383,E40
384,A12
385,A31
386,B05
387,A01
388,S12
389,I20
390,F42
391,Q43
392,P05
393,N70
394,N126
395,E032
396,E19
397,H90
398,H03
399,N113
400,P112
401,H98
402,A90
403,C60
404,G124
405,E118
406,F192
407,Q31
408,O40
409,R60
410,R28
411,N50
412,B119
413,Q34
414,N117
415,H055
416,A99
417,I43
418,L112
419,X052
420,J21
421,P74
422,L012
423,A058
424,S81
425,X90
426,P26
427,H05
428,K05
429,J12
430,G96
431,S47
432,A40
433,I126
434,S02
435,J22
436,Q115
437,H96
438,J30
439,R62
440,T23
441,U11
442,P45
443,A118
444,X122
445,F53
446,A115
447,E039
448,U123
449,S43
450,G19
451,I036
452,P71
453,N123
454,K052
455,E01
456,E122
457,E023
458,D32
459,L192
460,Q19
461,L195
462,N124
463,A03
464,G32
465,S192
466,T21
467,A032
468,I11
469,K03
470,O11
471,Q11
472,I026
473,V99
474,W40
475,G92
476,H48
477,Q35
478,C11
479,C20
480,E05
481,F70
482,Q12
483,C05
484,O112
485,U99
486,B028
487,N61
488,A112
489,B115
490,G11
491,N116
492,D03
493,S122
494,V20
495,B30
496,X032
497,A19
498,D61
499,H92
500,U19
501,C123
502,B059
503,V113
504,B804
505,B41
506,L122
507,E192
508,B825
509,E24
510,C193
511,U41
512,G114
513,X019
514,T013
515,I71
516,A126
517,P128
518,K112
519,U034
520,O41
521,X83
522,P02
523,C013
524,D34
525,S118
526,U21
527,R012
528,I128
529,P22
530,N03
531,L035
532,P018
533,T02
534,P83
535,H035
536,B122
537,N71
538,T113
539,E61
540,N193
541,B124
542,D30
543,B038
544,C033
545,P033
546,R22
547,P42
548,K40
549,Q71
550,Q40
551,I03
552,H60
553,D013
554,B029
555,I50
556,G035
557,O114
558,B195
559,A124
560,X013
561,E198
562,O22
563,G45
564,K01
565,L015
566,W022
567,D115
568,U40
569,J11
570,P01
571,X03
572,Y42
573,C126
574,P197
575,C032
576,A034
577,V33
578,H9B
579,J194
580,O21
581,W038
582,R26
583,G119
584,E029
585,C113
586,K26
587,M42
588,W01
589,S034
590,Q023
591,V24
592,U33
593,U42
594,Q23
595,I052
596,D032
597,Q36
598,B037
599,B845
600,C116
601,A53
602,E65
603,E052
604,A033
605,F03
606,Y30
607,A56
608,F033
609,V22
610,E116
611,A035
612,G44
613,W50
614,A194
615,U114
616,I197
617,C052
618,P014
619,F013
620,L25
621,M032
622,U032
623,W90
624,A037
625,E02
626,E119
627,G61
628,W24
629,D40
630,U02
631,L025
632,H42
633,U033
634,R25
635,H123
636,G03
637,I033
638,R192
639,Q032
640,M01
641,R12
642,Q50
643,O53
644,A196
645,D33
646,X02
647,B192
648,M60
649,L30
650,I05
651,H41
652,B014
653,S038
654,Q42
655,V033
656,J99
657,F19
658,A016
659,I44
660,Q03
661,H20
662,D05
663,E036
664,X023
665,A02
666,E057
667,F50
668,P038
669,P87
670,T03
671,P88
672,A113
673,Q51
674,D113
675,Q112
676,I127
677,C036
678,L02
679,K34
680,G40
681,R022
682,R61
683,O19
684,H11
685,A24
686,A84
687,B027
688,A027
689,K35
690,H40
691,W052
692,F113
693,E115
694,H128
695,V03
696,R63
697,I99
698,W60
699,V05
700,N01
701,S112
702,G128
703,Y99
704,Q053
705,B033
706,U193
707,B194
708,O115
709,I23
710,Q38
711,I12
712,I195
713,U194
714,I19
715,A125
716,C125
717,I02
718,K12
719,W19
720,E123
721,F114
722,H124
723,S022
724,D60
725,H81
726,P022
727,M192
728,B023
729,E058
730,G118
731,X033
732,M11
733,P023
734,L055
735,F052
736,E053
737,K192
738,C40
739,S012
740,A013
741,J124
742,D122
743,Y115
744,J192
745,K11
746,Q035
747,G198
748,C034
749,A128
750,B022
751,Q01
752,L052
753,B018
754,C023
755,Y33
756,B198
757,P114
758,R23
759,O43
760,J02
761,P03
762,D125
763,S013
764,G125
765,G25
766,B058
767,K032
768,I116
769,S128
770,A114
771,F01
772,C015
773,S114
774,R19
775,P034
776,C124
777,B129
778,O123
779,G01
780,X123
781,V11
782,V26
783,D31
784,C026
785,Q41
786,W024
787,A014
788,S024
789,P198
790,B025
791,A267
792,U013
793,T117
794,W113
795,P032
796,X198
797,P122
798,P113
799,B024
800,O02
801,D014
802,G032
803,R01
804,H129
805,C02
806,I018
807,N80
808,E035
809,F12
810,S194
811,U035
812,B015
813,B40
814,A117
815,P61
816,W11
817,A012
818,G039
819,I013
820,M122
821,E026
822,G05
823,B054
824,B019
825,H19
826,V35
827,V23
828,P027
829,G034
830,S01
831,F54
832,U052
833,B113
834,F022
835,E037
836,G018
837,V25
838,W123
839,C016
840,K02
841,I017
842,N05
843,P24
844,L014
845,Y03
846,K033
847,B035
848,T193
849,F057
850,V36
851,P052
852,A038
853,U055
854,H94
855,V21
856,E038
857,I032
858,S023
859,E197
860,T05
861,W02
862,D034
863,N032
864,E196
865,P012
866,D025
867,G013
868,N72
869,F035
870,E033
871,E195
872,W017
873,Y114
874,M03
875,E199
876,T035
877,N034
878,V37
879,I193
880,S035
881,B125
882,S46
883,B039
884,O54
885,F05
886,W036
887,H119
888,A129
889,Q033
890,C012
891,B127
892,B052
893,P76
894,A123
895,F128
896,P192
897,E129
898,I015
899,F037
900,W61
901,E128
902,X029
903,H013
904,H113
905,I118
906,E127
907,F018
908,D123
909,W112
910,E059
911,J03
912,O014
913,S054
914,Y44
915,S032
916,Q015
917,H015
918,M02
919,S124
920,U054
921,O015
922,P127
923,L114
924,Q014
925,R02
926,B116
927,D99
928,H84
929,D053
930,D124
931,N037
932,N033
933,L01
934,V19
935,Y05
936,J19
937,E018
938,B834
939,B017
940,N056
941,J01
942,V013
943,G113
944,H70
945,O03
946,P028
947,L118
948,L03
949,U124
950,F014
951,F112
952,G199
953,K053
954,F122
955,B126
956,Q055
957,X05
958,G014
959,L115
960,G019
961,C056
962,I037
963,A193
964,I194
965,E014
966,C054
967,G194
968,E056
969,I034
970,A026
971,A056
972,G60
973,R11
974,E013
975,G117
976,X014
977,N023
978,A023
979,A028
980,X114
981,K193
982,U01
983,A022
984,Q054
985,C196
986,Q013
987,J054
988,B824
989,Y032
990,J113
991,N02
992,P015
993,I014
994,B199
995,L125
996,D01
997,F027
998,W117
999,G123
1000,J012
1001,I196
1002,L032
1003,C19
1004,E114
1005,P195
1006,E193
1007,I198
1008,P057
1009,J024
1010,M034
1011,W192
1012,A127
1013,N114
1014,Y12
1015,H012
1016,M114
1017,W126
1018,J114
1019,L038
1020,C112
1021,H44
1022,J05
1023,W056
1024,H02
1025,M19
1026,M012
1027,Q193
1028,R05
1029,R013
1030,B036
1031,U113
1032,Y25
1033,Q025
1034,O125
1035,A05
1036,R036
1037,P053
1038,H45
1039,W033
1040,D126
1041,G112
1042,Q124
1043,Q114
1044,K013
1045,Q012
1046,X01
1047,I112
1048,B123
1049,A195
1050,A198
1051,K113
1052,B193
1053,O024
1054,I035
1055,A192
1056,F015
1057,A017
1058,H54
1059,N017
1060,G192
1061,O032
1062,P037
1063,H51
1064,E125
1065,U053
1066,L194
1067,U195
1068,G129
1069,Y43
1070,E054
1071,Y22
1072,S113
1073,O012
1074,G127
1075,T123
1076,Q127
1077,A025
1078,H034
1079,R196
1080,V02
1081,E016
1082,Q057
1083,G193
1084,N122
1085,W118
1086,W035
1087,I055
1088,J022
1089,V32
1090,W114
1091,F026
1092,Q02
1093,M014
1094,S052
1095,Q122
1096,A024
1097,M05
1098,M052
1099,S033
1100,A053
1101,Q034
1102,P194
1103,W193
1104,A057
1105,J032
1106,J013
1107,S115
1108,U115
1109,R03
1110,K022
1111,O052
1112,M024
1113,S123
1114,D19
1115,X194
1116,X124
1117,H114
1118,V31
1119,F123
1120,I056
1121,W013
1122,U022
1123,U192
1124,F52
1125,I027
1126,B057
1127,K123
1128,P21
1129,R056
1130,H122
1131,W124
1132,W053
1133,V032
1134,K50
1135,N015
1136,D023
1137,H01
1138,U024
1139,B053
1140,R67
1141,O124
1142,J122
1143,R27
1144,R21
1145,D114
1146,K034
1147,E027
1148,T034
1149,V112
1150,Y34
1151,U112
1152,D024
1153,Y022
1154,U122
1155,T01
1156,E019
1157,G115
1158,I012
1159,N024
1160,Y41
1161,D02
1162,B026
1163,E034
1164,P054
1165,B013
1166,G024
1167,O122
1168,E126
1169,G028
1170,J023
1171,Q197
1172,V12
1173,P124
1174,W028
1175,B197
1176,L05
1177,X115
1178,J052
1179,H115
1180,H039
1181,P017
1182,Y11
1183,C115
1184,V053
1185,S015
1186,N128
1187,H032
1188,F197
1189,D192
1190,E194
1191,N026
1192,V122
1193,Y23
1194,H25
1195,S193
1196,F196
1197,I117
1198,D035
1199,Y35
1200,G02
1201,L018
1202,N013
1203,A054
1204,H059
1205,G122
1206,I053
1207,R122
1208,L024
1209,W057
1210,H61
1211,W012
1212,D052
1213,N195
1214,S053
1215,S018
1216,Y24
1217,X193
1218,W026
1219,F016
1220,A018
1221,W194
1222,B196
1223,F017
1224,Y124
1225,A052
1226,G017
1227,F116
1228,W196
1229,D116
1230,L128
1231,T032
1232,O013
1233,I054
1234,E028
1235,K054
1236,H014
1237,Y052
1238,W034
1239,N014
1240,J123
1241,G036
1242,N053
1243,R052
1244,X038
1245,V012
1246,X053
1247,A029
1248,F194
1249,D054
1250,Q052
1251,E055
1252,W197
1253,L033
1254,M054
1255,U125
1256,B704
1257,P196
1258,P024
1259,C194
1260,F195
1261,N127
1262,N125
1263,H112
1264,I028
1265,I192
1266,W054
1267,P016
1268,W059
1269,O05
1270,N118
1271,O113
1272,G029
1273,H054
1274,Y19
1275,R112
1276,H052
1277,L028
1278,V34
1279,D015
1280,E124
1281,Q125
1282,L054
1283,B055
1284,O025
1285,U014
1286,R033
1287,G033
1288,F053
1289,G012
1290,V052
1291,V193
1292,C025
1293,G027
1294,J014
1295,T037
1296,X119
1297,T197
1298,J033
1299,O035
1300,H193
1301,A039
1302,W027
1303,P036
1304,A199
1305,I016
1306,O195
1307,S195
1308,P115
1309,F193
1310,P116
1311,W029
1312,O194
1313,W014
1314,Y194
1315,H125
1316,H199
