	0	1
1374	0.8166666626930237	[64, 7, 'softplus', 'softplus', 'softmax', 'tanh']
1975	0.8166666587193807	[128, 5, 'tanh', 'softmax', 'softplus', 'softmax']
457	0.800000011920929	[32, 5, 'softmax', 'sigmoid', 'tanh', 'softplus']
459	0.800000011920929	[32, 5, 'softmax', 'sigmoid', 'tanh', 'softmax']
2229	0.800000011920929	[128, 7, 'tanh', 'softmax', 'softplus', 'softplus']
1517	0.800000011920929	[64, 7, 'softmax', 'tanh', 'softmax', 'softplus']
507	0.800000011920929	[32, 5, 'softmax', 'softmax', 'tanh', 'softmax']
1391	0.8	[64, 7, 'softplus', 'tanh', 'softmax', 'softmax']
1488	0.8	[64, 7, 'softmax', 'softplus', 'sigmoid', 'sigmoid']
1225	0.8	[64, 5, 'softmax', 'sigmoid', 'tanh', 'softplus']
1389	0.8	[64, 7, 'softplus', 'tanh', 'softmax', 'softplus']
341	0.799999992052714	[32, 5, 'softplus', 'softplus', 'softplus', 'softplus']
676	0.799999992052714	[32, 7, 'tanh', 'tanh', 'softplus', 'sigmoid']
1516	0.7833333452542622	[64, 7, 'softmax', 'tanh', 'softmax', 'sigmoid']
1511	0.7833333452542622	[64, 7, 'softmax', 'tanh', 'softplus', 'softmax']
473	0.7833333452542622	[32, 5, 'softmax', 'softplus', 'tanh', 'softplus']
245	0.7833333452542622	[32, 3, 'softmax', 'softmax', 'softplus', 'softplus']
2295	0.7833333452542622	[128, 7, 'softmax', 'softmax', 'softplus', 'softmax']
504	0.7833333452542622	[32, 5, 'softmax', 'softmax', 'tanh', 'sigmoid']
501	0.7833333452542622	[32, 5, 'softmax', 'softmax', 'softplus', 'softplus']
467	0.7833333452542622	[32, 5, 'softmax', 'softplus', 'sigmoid', 'softmax']
2231	0.7833333412806193	[128, 7, 'tanh', 'softmax', 'softplus', 'softmax']
1229	0.7833333412806193	[64, 5, 'softmax', 'sigmoid', 'softmax', 'softplus']
2228	0.7833333412806193	[128, 7, 'tanh', 'softmax', 'softplus', 'sigmoid']
496	0.7833333373069763	[32, 5, 'softmax', 'softmax', 'sigmoid', 'sigmoid']
1388	0.7833333333333333	[64, 7, 'softplus', 'tanh', 'softmax', 'sigmoid']
243	0.7833333333333333	[32, 3, 'softmax', 'softmax', 'sigmoid', 'softmax']
1971	0.7833333333333333	[128, 5, 'tanh', 'softmax', 'sigmoid', 'softmax']
