DLN,EIN,FILING_TYPE,IRS990EZ_p3_DscrptnPrgrmSrvcAccmTxt,IRS990EZ_p3_PrmryExmptPrpsTxt,IRS990PF_p16b_RltnshpSttmntTxt,IRS990PF_p9a_DscrptnTxt,IRS990ScheduleO_ExplntnTxt,IRS990_p1_ActvtyOrMssnDsc,IRS990_p3_DscS,IRS990_p3_MssnDsc,OBJECT_ID,RETURN_ID,RETURN_TYPE,SUB_DATE,TAXPAYER_NAME,TAX_PERIOD,YEAR,Real_Year,ACCPER,ADDRESS,ASSETS,CASSETS,CFINSRC,CITY,CTAXPER,CTOTREV,EPOST,FILER,FIPS,FISYR_IMAGE,FNDNCD,FRCD,GEN,INCOME,IRS990n,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,MSA_NECH,NAICS,NAME,NTEE1,NTEECC,NTEECONF,NTEEFINAL,NTEESRC,NTMAJ10,NTMAJ12,NTMAJ5,OUTNCCS,OUTREAS,PFFRCD,PMSA,RANDNUM,RULEDATE,RandNum,SEC_NAME,STATE,SUBSECCD,TAXPER,YEAR_NCCS,ZFILER,ZIP5,cAssets,cFiler,cFinSrc,cTaxPer,cTotRev,czFiler,nteeConf,nteeFinal,nteeFinal1,ntmaj10,ntmaj12,ntmaj5
93493273003413.0,421602181,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.0131273934930035e+17,10984088.0,990,12/3/2013,SAN ANTONIO RIVER FOUNDATION,201306.0,2013.0,2013.0,6.0,PO BOX 830045,5167183.0,,,SAN ANTONIO,,,Z,Y,48029.0,2013.0,15.0,10.0,0.0,1535391.0,0.0,PC,O,EN,C,C,7240.0,813312.0,SAN ANTONIO RIVER FOUNDATION,C,C32,,,1,,,,IN,,,,,200309.0,0.4908,,TX,3.0,201306.0,2013.0,N,78283.0,5167183.0,Y,bmf1312c3,201306.0,1517391.0,N,B,C32,C,EN,EN,OT
93492282007283.0,850155431,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0133282934920074e+17,10993567.0,990EO,12/4/2013,WESTEXAS NEW MEXICO FLORIST ASSOC,201308.0,2013.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93493282002163.0,746046937,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.0131282934930022e+17,10980530.0,990,11/29/2013,TRAVIS AUDUBON SOCIETY INC,201303.0,2013.0,2013.0,3.0,3710 CEDAR ST STE 5,2944042.0,,,AUSTIN,,,Z,Y,48453.0,2013.0,16.0,10.0,0.0,308070.0,0.0,PC,O,EN,C,C,640.0,813312.0,TRAVIS AUDUBON SOCIETY INC,C,C30,,,1,,,,IN,,,,,195707.0,0.03603,,TX,3.0,201303.0,2013.0,N,78705.0,2944042.0,Y,bmf1312c3,201303.0,284248.0,N,A,C30,C,EN,EN,OT
93493280007133.0,746049372,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.013328093493007e+17,10989520.0,990,12/4/2013,TEXAS GARDEN CLUBS,201305.0,2013.0,2013.0,5.0,6088 BABE ZAHARIAS DR,1403471.0,,,BEAUMONT,,,1,Y,48245.0,2013.0,16.0,10.0,7170.0,296639.0,0.0,PC,O,EN,C,C,840.0,813410.0,TEXAS GARDEN CLUBS INC,C,C42,,,1,,,,IN,,,,,199301.0,0.51974,2035 BEAUMONT COUNCIL OF G C,TX,3.0,201305.0,2013.0,N,77705.0,1403471.0,Y,bmf1312c3,201305.0,296639.0,N,A,C42,C,EN,EN,OT
93492283000273.0,911906409,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0132283934920003e+17,11000805.0,990EZ,12/6/2013,NATIONAL ASSOCIATION OF AMERICAN BUSINESS CLUBS IRVING,201305.0,2013.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93493309015333.0,756423660,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.0133309934930154e+17,11052189.0,990,12/20/2013,BAIRD FAMILY CHARITABLE TRUST,201306.0,2013.0,2013.0,6.0,1701 N GREENVILLE AVE SUITE 500,578054.0,,,RICHARDSON,,,Z,Y,48113.0,2013.0,17.0,10.0,0.0,133824.0,0.0,PC,O,EN,C,C,1922.0,813312.0,BAIRD FAMILY CHARITABLE TRUST,C,C30,,,1,,,,IN,,,1920.0,,199204.0,0.13898,FRITZ EDWARD C CO-TTEE,TX,3.0,201306.0,2013.0,N,75081.0,578054.0,Y,bmf1312c3,201306.0,31921.0,N,B,C30,C,EN,EN,OT
93492301004413.0,760691272,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0131301934920045e+17,11090550.0,990EZ,12/31/2013,GOLFREACH INC,201308.0,2013.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93492352007103.0,237357269,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.013035293492007e+17,11093598.0,990EO,12/31/2013,TEXAS AIRSTREAM HARBOR INC TAHI,201311.0,2013.0,2013.0,11.0,2710 S MEDFORD DR,103329.0,,,LUFKIN,,,Z,Y,48005.0,2014.0,0.0,1.0,0.0,73780.0,0.0,O,O,EN,C,C,,813312.0,TEXAS AIRSTREAM HARBOR INC,C,C99,,,1,,,,IN,,,,,197603.0,0.17372,,TX,7.0,201311.0,2014.0,N,75901.0,103329.0,Y,core2012co,201311.0,73780.0,N,C,C99,C,EN,EN,OT
93493347012523.0,760344804,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.0132347934930125e+17,11093874.0,990,12/31/2013,MONTGOMERY COUNTY MASTER GARDENER ASSOCIATION,201303.0,2013.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93492350004233.0,742121275,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0133350934920042e+17,11089966.0,990EZ,12/31/2013,LAKE MCQUEENEY PROP OWNERS ASSN INC,201307.0,2013.0,2013.0,7.0,PO BOX 781,172438.0,,,MCQUEENEY,,,Z,Y,48187.0,2014.0,15.0,2.0,0.0,36067.0,0.0,PC,O,EN,C,C,7240.0,813319.0,LAKE MCQUEENEY PROPERTY OWNERS ASSOCIATION INC,C,C013,,,1,,,,IN,,,,,199612.0,0.07902,LAKE MCQUEENEY PROPERTY OWNERS ASSO,TX,3.0,201307.0,2014.0,N,78123.0,172438.0,Y,core2012pc,201307.0,36067.0,N,B,C0130,C,EN,EN,OT
