DLN,EIN,FILING_TYPE,IRS990EZ_p3_DscrptnPrgrmSrvcAccmTxt,IRS990EZ_p3_PrmryExmptPrpsTxt,IRS990PF_p16b_RltnshpSttmntTxt,IRS990PF_p9a_DscrptnTxt,IRS990ScheduleO_ExplntnTxt,IRS990_p1_ActvtyOrMssnDsc,IRS990_p3_DscS,IRS990_p3_MssnDsc,OBJECT_ID,RETURN_ID,RETURN_TYPE,SUB_DATE,TAXPAYER_NAME,TAX_PERIOD,YEAR,SEC_NAME,FRCD,SUBSECCD,TAXPER,ASSETS,INCOME,NAME,ADDRESS,CITY,STATE,NTEECONF,NTEEFINAL,NAICS,ZIP5,OUTNCCS,OUTREAS,RULEDATE,FIPS,FNDNCD,PMSA,MSA_NECH,CASSETS,CFINSRC,CTAXPER,CTOTREV,ACCPER,RANDNUM,NTEECC,NTEE1,LEVEL4,LEVEL1,NTMAJ10,MAJGRPB,LEVEL3,LEVEL2,NTMAJ12,NTMAJ5,FILER,ZFILER,2018
93493319032017.0,471982274,EFILE,,,,,,"SEE SCHEDULE OTO ENCOURAGE AND PROMOTE THE DEVELOPMENT, PRESERVATION, PROPAGATION,CONSERVATION AND WELL-BEING OF ENDANGERED SPECIES OF WILDLIFE IN THE UNITED REPUBLIC OF TANZANIA, THROUGH SUCH MEANS AS SELECTIVE TROPHY HUNTING AND THE ESTABLISHMENT OF ANTIPOACHING MEASURES WHICH WILL ACT AS A DETERRENT TO THE ILLEGAL POACHING OF SUCH WILDLIFE; AND TO TRAIN, EDUCATE AND OTHERWISE CULTIVATE SKILLED PERSONNEL (NOT LIMITED TO MEMBERS OF THE CORPORATION) IN THE SCIENCE AND CULTURE OF SUCH DEVELOPMENT, PRESERVATION, PROPAGATION, CONSERVATION AND WELL-BEING OF ENDANGERED SPECIES OF WILDLIFE, AS WELL AS IN WILDLIFE MANAGEMENT AND CONSERVATION IN GENERAL.","TO FUND THE ACTIVITES OF THE CONSERVATION FOUNDATION TRUST (A FOREIGN NOT FOR PROFIT TRUST) WHICH INCLUDE VARIOUS CONSERVATION EFFORTS THROUGH THE ESTABLISHMENT OF ANTI-POACHING MEASURES AND COMMUNITY DEVELOPMENT PROGRAMS SUCH AS CONSTRUCTION OF SCHOOLS, DONATIONS OF WHEELCHAIRS, DONATIONS OF BOOKS AND SCHOOL SUPPLIES,CONSTRUCTION OF MODERN LATRINES, CONSTRUCTION OF WATER STORAGE, AND MAINTAINENCE OF CONCESSION AREAS AND ROADS.","SEE SCHEDULE OTO ENCOURAGE AND PROMOTE THE DEVELOPMENT, PRESERVATION, PROPAGATION,CONSERVATION AND WELL-BEING OF ENDANGERED SPECIES OF WILDLIFE IN THE UNITED REPUBLIC OF TANZANIA, THROUGH SUCH MEANS AS SELECTIVE TROPHY HUNTING AND THE ESTABLISHMENT OF ANTIPOACHING MEASURES WHICH WILL ACT AS A DETERRENT TO THE ILLEGAL POACHING OF SUCH WILDLIFE; AND TO TRAIN, EDUCATE AND OTHERWISE CULTIVATE SKILLED PERSONNEL (NOT LIMITED TO MEMBERS OF THE CORPORATION) IN THE SCIENCE AND CULTURE OF SUCH DEVELOPMENT, PRESERVATION, PROPAGATION, CONSERVATION AND WELL-BEING OF ENDANGERED SPECIES OF WILDLIFE, AS WELL AS IN WILDLIFE MANAGEMENT AND CONSERVATION IN GENERAL.",2.017131993493032e+17,15101549.0,990,1/9/2018 11:08:15 AM,TANZANIA WILDLIFE AND CONSERVATION FUND INC,201612.0,2018.0,,10.0,3.0,201712.0,11111.0,126841.0,TANZANIA WILDLIFE & CONSERVATION FUND INC,100 CRESCENT CT STE 350,DALLAS,TX,,C1230,813219.0,75201.0,IN,,201502.0,48113.0,15.0,1920.0,1922.0,42699.0,16eofinextract990.dat,201512.0,217373.0,12.0,0.6715120323557653,C123,C,C,PC,EN,C,ZB,S,EN,OT,Y,N,1.0
93493313010018.0,471982274,EFILE,,,,,,"TO ENCOURAGE AND PROMOTE THE DEVELOPMENT, PRESERVATION, PROPAGATION,CONSERVATION AND WELL-BEING OF ENDANGERED SPECIES OF WILDLIFE IN THE UNITED REPUBLIC OF TANZANIA, THROUGH SUCH MEANS AS SELECTIVE TROPHY HUNTING AND THE ESTABLISHMENT OF ANTIPOACHING MEASURES WHICH WILL ACT AS A DETERRENT TO THE ILLEGAL POACHING OF SUCH WILDLIFE; AND TO TRAIN, EDUCATE AND OTHERWISE CULTIVATE SKILLED PERSONNEL (NOT LIMITED TO MEMBERS OF THE CORPORATION) IN THE SCIENCE AND CULTURE OF SUCH DEVELOPMENT, PRESERVATION, PROPAGATION, CONSERVATION AND WELL-BEING OF ENDANGERED SPECIES OF WILDLIFE, AS WELL AS IN WILDLIFE MANAGEMENT AND CONSERVATION IN GENERAL.","TO FUND THE ACTIVITES OF THE CONSERVATION FOUNDATION TRUST (A FOREIGN NOT FOR PROFIT TRUST) WHICH INCLUDE VARIOUS CONSERVATION EFFORTS THROUGH THE ESTABLISHMENT OF ANTI-POACHING MEASURES AND COMMUNITY DEVELOPMENT PROGRAMS SUCH AS CONSTRUCTION OF SCHOOLS, DONATIONS OF WHEELCHAIRS, DONATIONS OF BOOKS AND SCHOOL SUPPLIES,CONSTRUCTION OF MODERN LATRINES, CONSTRUCTION OF WATER STORAGE, AND MAINTAINENCE OF CONCESSION AREAS AND ROADS.","SEE SCHEDULE OTO ENCOURAGE AND PROMOTE THE DEVELOPMENT, PRESERVATION, PROPAGATION,CONSERVATION AND WELL-BEING OF ENDANGERED SPECIES OF WILDLIFE IN THE UNITED REPUBLIC OF TANZANIA, THROUGH SUCH MEANS AS SELECTIVE TROPHY HUNTING AND THE ESTABLISHMENT OF ANTIPOACHING MEASURES WHICH WILL ACT AS A DETERRENT TO THE ILLEGAL POACHING OF SUCH WILDLIFE; AND TO TRAIN, EDUCATE AND OTHERWISE CULTIVATE SKILLED PERSONNEL (NOT LIMITED TO MEMBERS OF THE CORPORATION) IN THE SCIENCE AND CULTURE OF SUCH DEVELOPMENT, PRESERVATION, PROPAGATION, CONSERVATION AND WELL-BEING OF ENDANGERED SPECIES OF WILDLIFE, AS WELL AS IN WILDLIFE MANAGEMENT AND CONSERVATION IN GENERAL.",2.01813139349301e+17,15982467.0,990,12/7/2018 8:30:51 AM,TANZANIA WILDLIFE AND CONSERVATION FUND INC,201712.0,2018.0,,10.0,3.0,201712.0,11111.0,126841.0,TANZANIA WILDLIFE & CONSERVATION FUND INC,100 CRESCENT CT STE 350,DALLAS,TX,,C1230,813219.0,75201.0,IN,,201502.0,48113.0,15.0,1920.0,1922.0,42699.0,16eofinextract990.dat,201512.0,217373.0,12.0,0.6715120323557653,C123,C,C,PC,EN,C,ZB,S,EN,OT,Y,N,1.0
93493317071097.0,741696145,EFILE,,,,,,"ECOLOGY ACTION'S MISSION IS TO CREATE A HEALTHIER ENVIRONMENT THROUGH RESOURCE RECOVERY OPERATIONS, BROWNFIELD REMEDIATION, AND ZERO WASTE INITIATIVES.","CONDUCTS EDUCATION AND HANDS ON EXPERIENTIAL EDUCATION AND VOLUNTEER OPPORTUNITIES ABOUT ENVIRONMENTAL STEWARDSHIP AND BROWNFIELDS AND DEVELOPS BIO-REMEDIATION TECHNIQUES, LANDFILL DIVERSION INNOVATION, AND MATERIAL/ADAPTIVE REUSE STRATEGIES.","ECOLOGY ACTION'S MISSION IS TO CREATE A HEALTHIER ENVIRONMENT THROUGH RESOURCE RECOVERY OPERATIONS, BROWNFIELD REMEDIATION, AND ZERO WASTE INITIATIVES.",2.017431793493071e+17,15085251.0,990,1/4/2018 8:42:11 PM,ECOLOGY ACTION OF TEXAS,201612.0,2018.0,,10.0,3.0,201712.0,171061.0,75854.0,ECOLOGY ACTION OF TEXAS INC,PO BOX 1927,AUSTIN,TX,,C27,813312.0,78767.0,IN,,197812.0,48453.0,16.0,,640.0,224432.0,16eofinextract990.dat,201512.0,312736.0,12.0,0.5434114590476118,C27,C,C,PC,EN,C,EN,O,EN,OT,Y,N,1.0
93493312011438.0,741696145,EFILE,,,,,,"ECOLOGY ACTION'S MISSION IS TO CREATE A HEALTHIER ENVIRONMENT THROUGH RESOURCE RECOVERY OPERATIONS, BROWNFIELD REMEDIATION, AND ZERO WASTE INITIATIVES.","CONDUCTS EDUCATION AND HANDS ON EXPERIENTIAL EDUCATION AND VOLUNTEER OPPORTUNITIES ABOUT ENVIRONMENTAL STEWARDSHIP AND BROWNFIELDS AND DEVELOPS BIO-REMEDIATION TECHNIQUES, LANDFILL DIVERSION INNOVATION, AND MATERIAL/ADAPTIVE REUSE STRATEGIES.","ECOLOGY ACTION'S MISSION IS TO CREATE A HEALTHIER ENVIRONMENT THROUGH RESOURCE RECOVERY OPERATIONS, BROWNFIELD REMEDIATION, AND ZERO WASTE INITIATIVES.",2.0183312934930115e+17,16011433.0,990,12/17/2018 3:13:22 PM,ECOLOGY ACTION OF TEXAS,201712.0,2018.0,,10.0,3.0,201712.0,171061.0,75854.0,ECOLOGY ACTION OF TEXAS INC,PO BOX 1927,AUSTIN,TX,,C27,813312.0,78767.0,IN,,197812.0,48453.0,16.0,,640.0,224432.0,16eofinextract990.dat,201512.0,312736.0,12.0,0.5434114590476118,C27,C,C,PC,EN,C,EN,O,EN,OT,Y,N,1.0
93492319013467.0,742613666,EFILE,CONTINUED SALES OF ENCYCLOPEDIAS; CONTINUED RESEARCH AND PROMOTIONAL ACTIVITIES.,"To research, compile & disseminate educational information",,,,,,,2.0171319934920134e+17,15076696.0,990EZ,1/3/2018 2:43:50 PM,USEFUL WILD PLANTS INC,201612.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
93493318091787.0,741708558,EFILE,,,,,,NON-PROFIT HOMEOWNERS ASSOCIATION,"SECURITY & MAINTENANCE OF SUBDIVISION COMMON GROUNDS. INCLUDING SECURITY PATROL, STREET LIGHTS AND MAINTENANCE OF COMMON AREAS.##SOCIAL & RECREATIONAL FACILITIES AND ACTIVITIES FOR RESIDENTS",NON-PROFIT HOMEOWNERS ASSOCIATION,2.017331893493092e+17,15103980.0,990O,1/9/2018 6:42:22 PM,GREENWOOD FOREST FUND INC,201612.0,2018.0,,10.0,4.0,201712.0,1165076.0,1014411.0,GREENWOOD FOREST FUND INC,12700 CHAMPION FOREST DR,HOUSTON,TX,,C12,813219.0,77066.0,IN,,197207.0,48201.0,0.0,3360.0,3362.0,1193751.0,16eofinextract990.dat,201512.0,931406.0,12.0,0.8789958998198746,C12,C,C,O,EN,C,ZB,S,EN,OT,Y,N,1.0
93493319173797.0,200930296,EFILE,,,,,,THE FOUNDATION WAS FORMED EXCLUSIVELY FOR RELIGIOUS AND CHARITABLE PURPOSES.,THE FOUNDATION IS OPERATED EXCLUSIVELY FOR RELIGIOUS AND CHARITABLE PURPOSES.,THE FOUNDATION WAS FORMED EXCLUSIVELY FOR RELIGIOUS AND CHARITABLE PURPOSES.,2.0174319934931738e+17,15102706.0,990,1/9/2018 2:26:04 PM,ST JAMES HOUSE FOUNDATION,201612.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
93493023005168.0,200930296,EFILE,,,,,,THE FOUNDATION WAS FORMED EXCLUSIVELY FOR RELIGIOUS AND CHARITABLE PURPOSES.,THE FOUNDATION IS OPERATED EXCLUSIVELY FOR RELIGIOUS AND CHARITABLE PURPOSES.,THE FOUNDATION WAS FORMED EXCLUSIVELY FOR RELIGIOUS AND CHARITABLE PURPOSES.,2.018102393493005e+17,15208423.0,990,3/8/2018 9:49:05 AM,ST JAMES HOUSE FOUNDATION,201612.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
93493318036607.0,742821500,EFILE,,,,,,STARTING AND SUPPORTING CHURCH PLANTING MOVEMENTS IN LIMITED AND RESTRICTED ACCESS COUNTRIES.,"IN 2016, 89,690 NEW CHURCHES WERE PLANTED THROUGH THE N. INDIA CHURCH PLANTING MOVEMENT, BRINGING THE TOTAL TO 438,507. THROUGH VARIOUS LEADERSHIP DEVELOPMENT PROGRAMS, 35,000 NEW LEADERS WERE TRAINED. THE MAJORITY OF THESE LEADERS WERE TRAINED AND DISCIPLED THROUGH 450 COMMUNITY LEARNING CENTERS.",ASIAN PARTNERS INTERNATONAL IS COMMITTTED TO STARTING AND SUPPORTING CHURCH PLANTING MOVEMENTS IN LIMITED AND RESTRICTED ACCESS COUNTRIES.,2.0170318934930365e+17,15098352.0,990,1/8/2018 10:55:10 PM,ASIAN PARTNERS INTERNATIONAL INC,201612.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
93493310026638.0,742821500,EFILE,,,,,,STARTING AND SUPPORTING CHURCH PLANTING MOVEMENTS IN LIMITED AND RESTRICTED ACCESS COUNTRIES.,"IN 2017, 31,000 LEADERS WERE TRAINED THROUGH 400 COMMUNITY LEARNING CENTERS. AS A RESULT OF THESE TRAINED LEADERS, WE ESTIMATE THAT 107,000 NEW CHURCHES WERE PLANTED BRINGING THE TOTAL TO 540,000.",ASIAN PARTNERS INTERNATONAL IS COMMITTTED TO STARTING AND SUPPORTING CHURCH PLANTING MOVEMENTS IN LIMITED AND RESTRICTED ACCESS COUNTRIES.,2.0183310934930266e+17,16004269.0,990,12/14/2018 1:02:59 PM,ASIAN PARTNERS INTERNATIONAL INC,201712.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
